bin10,chr,pos,Strand,A1,A2,N,effB,se_effB,chi2.1df,P1df,effAB,effBB,chi2.2df,P2df,Pc1df,qval,snpid,plossnpid,ploschr,plospos,effect,p.value,dir
10_13326950,10,133269497,u,1,2,566,0.0448800368744099,0.585897862489093,0.00586762814365621,0.938941405095026,-0.0561422303846548,3.85743801652893,0.605363546543846,0.738834175746568,0.978009639294958,0.938941405095026,10_133269497,10_133269498,10,133269498,-0.328673807,7.87e-14,0.0147508925778127
10_13326950,10,133269498,u,1,2,566,0.213669769720727,0.588768647119643,0.131703347571638,0.716672446281511,0.119974226804125,3.88247422680412,0.636153285142077,0.727547025203142,0.896098588598884,0.758018933566982,10_133269498,10_133269498,10,133269498,-0.328673807,7.87e-14,0.0702276566549247
10_2634906,10,26349056,u,1,2,539,0.497828405973786,0.238232063465396,4.36675596915285,0.0366466952890462,NA,0.995656811947576,8,0.00467773498104727,0.452074369491644,0.0806227296359017,10_26349056,10_26349062,10,26349062,0.139621922,5.38e-10,-0.0695077588682564
1_27098161,1,270981614,u,1,2,540,0.180866322432586,0.406552653407967,0.197916415383593,0.656407937986448,0.000831136077039218,1.84755244755245,1.30773115180686,0.520031664545722,0.872812299126546,0.722048731785093,1_270981614,1_270981614,1,270981614,0.161139274,7.92e-13,-0.0291446678878368
1_3044883,1,30448834,u,1,2,546,-0.838421444527175,0.487989715001619,2.9519120787921,0.0857760167986303,-1.47361724421825,-0.244868035190617,7.37936294354037,0.0249799575968487,0.536407199421301,0.147486405793215,1_30448834,1_30448826,1,30448826,-0.141894555,1.34e-08,-0.118967437773641
1_5176166,1,51761662,u,1,2,559,-1.77302025782689,0.311236939555611,32.452273172052,1.22155983077687e-08,0.680555555555557,-2.79639479905437,41.9133509105508,7.91829159348769e-10,0.0403714818366991,3.3592895346364e-07,1_51761662,1_51761662,1,51761662,-0.119776142,1.05e-11,-0.21236552617035
2_22900919,2,229009187,u,1,2,345,-0.594943644333125,0.698856839047669,0.724728298722764,0.394597307531463,0.010595823095823,-3.62804054054054,2.39269630846635,0.302296137526556,0.759345843124243,0.476985756356714,2_229009187,2_229009187,2,229009187,0.163016228,5.61e-17,0.0969854687717596
2_4882325,2,48823247,u,1,2,566,0.249103541013001,0.336540531756807,0.547879497741629,0.459185426926312,1.51936326918508,-1.47701354240912,20.7725333223711,3.0853305644374e-05,0.789966921962434,0.53734464853079,2_48823247,2_48823247,2,48823247,-0.195734846,1.92e-21,0.0487582432382344
2_6394218,2,63942178,u,1,2,529,-0.930792454493367,0.271468092107678,11.7562314224315,0.000606398787385632,0.698015873015873,-1.5570252792475,21.064049253404,2.66685756751672e-05,0.217271837682229,0.00351401823927133,2_63942178,2_63942178,2,63942178,-0.149917969,5.28e-11,-0.13954251433817
3_16589477,3,165894773,u,1,2,526,0.940424523595731,0.407124381534555,5.33572782145825,0.0208926145670261,1.02393262828045,1.62417417417417,5.41716224903896,0.0666312811665087,0.405852771667656,0.0574546900593216,3_165894773,3_165894770,3,165894770,-0.188176445,2.69e-20,0.176965743641063
