File,Genotype,Note,KRN,QC,ST,Year
DSC04728.JPG,Z011E0086,Il14H,7,3,S,8
DSC04732.JPG,Z024E0058,P39,8,4,T,8
DSC04733.JPG,Z024E0188,P39,8,5,S,8
DSC04736.JPG,Z024E0103,P39,7,4,S,8
DSC04737.JPG,Z024E0127,P39,8,5,S,8
DSC04738.JPG,Z024E0034,P39,7,3,S,8
DSC04740.JPG,Z024E0123,P39,6,5,S,8
DSC04741.JPG,Z024E0074,P39,7,5,S,8
DSC04742.JPG,Z011E0187,Il14H,6,5,S,8
DSC04743.JPG,Z024E0083,P39,6,4,S,8
DSC04745.JPG,Z024E0017,P39,7,4,S,8
DSC04746.JPG,Z024E0167,P39,6,4,S,8
DSC04747.JPG,Z011E0182,Il14H,7,4,S,8
DSC04748.JPG,Z024E0073,P39,8,4,S,8
DSC04749.JPG,Z024E0063,P39,6,5,S,8
DSC04750.JPG,Z024E0132,P39,7,4,T,8
DSC04752.JPG,Z024E0077,P39,6,4,S,8
DSC04753.JPG,Z024E0094,P39,8,5,S,8
DSC04754.JPG,Z024E0044,P39,5,3,S,8
DSC04756.JPG,Z024E0104,P39,5,1,S,8
DSC04758.JPG,Z011E0134,Il14H,5,3,S,8
DSC04760.JPG,Z024E0133,P39,9,5,S,8
DSC04761.JPG,Z024E0159,P39,9,5,S,8
DSC04762.JPG,Z024E0022,P39,6,5,S,8
DSC04764.JPG,Z024E0180,P39,7,5,S,8
DSC04765.JPG,Z024E0075,P39,8,5,S,8
DSC04766.JPG,Z024E0051,P39,6,4,S,8
DSC04767.JPG,Z024E0107,P39,8,5,S,8
DSC04768.JPG,Z024E0070,P39,8,4,S,8
DSC04769.JPG,Z011E0159,Il14H,8,4,S,8
DSC04770.JPG,Z024E0186,P39,6,5,S,8
DSC04771.JPG,Z024E0076,P39,7,5,S,8
DSC04772.JPG,Z024E0128,P39,6,5,S,8
DSC04773.JPG,Z024E0120,P39,7,5,S,8
DSC04774.JPG,Z024E0045,P39,4,2,S,8
DSC04775.JPG,Z024E0129,P39,8,5,S,8
DSC04776.JPG,Z024E0086,P39,6,5,S,8
DSC04777.JPG,Z011E0102,Il14H,7,5,S,8
DSC04778.JPG,Z024E0042,P39,7,5,S,8
DSC04779.JPG,Z011E0136,Il14H,8,4,T,8
DSC04780.JPG,Z024E0099,P39,7,5,S,8
DSC04781.JPG,Z024E0032,P39,6,5,S,8
DSC04782.JPG,Z024E0144,P39,6,5,S,8
DSC04783.JPG,Z011E0021,Il14H,7,5,S,8
DSC04784.JPG,Z024E0196,P39,7,5,S,8
DSC04785.JPG,Z024E0010,P39,7,4,S,8
DSC04786.JPG,Z011E0152,Il14H,8,5,S,8
DSC04787.JPG,Z024E0084,P39,10,5,S,8
DSC04788.JPG,Z019E0172,Ms71,9,5,S,8
DSC04789.JPG,Z011E0116,Il14H,8,4,S,8
DSC04790.JPG,Z024E0131,P39,8,5,S,8
DSC04791.JPG,Z011E0131,Il14H,5,4,T,8
DSC04793.JPG,Z011E0200,Il14H,5,2,S,8
DSC04794.JPG,Z024E0114,P39,6,5,S,8
DSC04795.JPG,Z011E0150,Il14H,6,5,S,8
DSC04796.JPG,Z011E0146,Il14H,7,5,S,8
DSC04797.JPG,Z011E0019,Il14H,7,5,S,8
DSC04798.JPG,Z011E0137,Il14H,6,3,S,8
DSC04799.JPG,Z024E0119,P39,9,5,S,8
DSC04800.JPG,Z019E0164,Ms71,8,5,S,8
DSC04801.JPG,Z024E0093,P39,8,5,S,8
DSC04803.JPG,Z011E0081,Il14H,7,4,S,8
DSC04804.JPG,Z024E0152,P39,9,5,S,8
DSC04805.JPG,Z024E0016,P39,6,5,S,8
DSC04806.JPG,Z024E0138,P39,6,3,S,8
DSC04810.JPG,Z011E0111,Il14H,7,5,S,8
DSC04811.JPG,Z024E0023,P39,5,3,S,8
DSC04812.JPG,Z011E0160,Il14H,7,4,S,8
DSC04813.JPG,Z011E0084,Il14H,6,4,T,8
DSC04814.JPG,Z019E0056,Ms71,8,5,S,8
DSC04816.JPG,Z011E0079,Il14H,8,5,S,8
DSC04817.JPG,Z011E0055,Il14H,8,4,S,8
DSC04818.JPG,Z011E0115,Il14H,8,4,T,8
DSC04819.JPG,Z011E0104,Il14H,6,3,T,8
DSC04820.JPG,Z019E0143,Ms71,7,5,S,8
DSC04821.JPG,Z011E0058,Il14H,6,5,S,8
DSC04822.JPG,Z024E0049,P39,8,3,S,8
DSC04823.JPG,Z019E0177,Ms71,7,5,S,8
DSC04824.JPG,Z011E0117,Il14H,9,5,S,8
DSC04825.JPG,Z024E0110,P39,7,4,T,8
DSC04826.JPG,Z024E0047,P39,6,5,S,8
DSC04827.JPG,Z024E0002,P39,7,4,T,8
DSC04828.JPG,Z019E0178,Ms71,7,4,S,8
DSC04830.JPG,Z024E0012,P39,7,3,S,8
DSC04831.JPG,Z011E0194,Il14H,8,4,T,8
DSC04832.JPG,Z011E0036,Il14H,6,3,S,8
DSC04833.JPG,Z011E0083,Il14H,7,4,S,8
DSC04834.JPG,Z019E0103,Ms71,8,5,S,8
DSC04835.JPG,Z024E0158,P39,7,5,S,8
DSC04836.JPG,Z019E0096,Ms71,5,5,S,8
DSC04837.JPG,Z019E0128,Ms71,7,5,S,8
