Genotype,Population,Subpopulation,KRN
B73xZ020E0025,BxRIL,Z020,15.3
B73xZ020E0027,BxRIL,Z020,16.3
B73xZ020E0029,BxRIL,Z020,16
B73xZ020E0032,BxRIL,Z020,16
B73xZ020E0034,BxRIL,Z020,17.7
B73xZ020E0038,BxRIL,Z020,17.3
B73xZ020E0041,BxRIL,Z020,17
B73xZ020E0043,BxRIL,Z020,15
B73xZ020E0047,BxRIL,Z020,16.3
B73xZ020E0049,BxRIL,Z020,14.3
B73xZ020E0050,BxRIL,Z020,17.7
B73xZ020E0056,BxRIL,Z020,19.6
B73xZ020E0057,BxRIL,Z020,19
B73xZ020E0059,BxRIL,Z020,18
B73xZ020E0062,BxRIL,Z020,15.3
B73xZ020E0069,BxRIL,Z020,15.3
B73xZ020E0075,BxRIL,Z020,18
B73xZ020E0090,BxRIL,Z020,18
B73xZ020E0099,BxRIL,Z020,16
B73xZ020E0103,BxRIL,Z020,16.7
B73xZ020E0106,BxRIL,Z020,16
B73xZ020E0117,BxRIL,Z020,17.7
B73xZ020E0120,BxRIL,Z020,20
B73xZ020E0122,BxRIL,Z020,17.3
B73xZ020E0152,BxRIL,Z020,15
B73xZ020E0155,BxRIL,Z020,17.3
B73xZ020E0159,BxRIL,Z020,17
B73xZ021E0025,BxRIL,Z021,16.3
B73xZ021E0028,BxRIL,Z021,18.5
B73xZ021E0034,BxRIL,Z021,16.3
B73xZ021E0040,BxRIL,Z021,16.3
B73xZ021E0050,BxRIL,Z021,17.3
B73xZ021E0051,BxRIL,Z021,15.7
B73xZ021E0052,BxRIL,Z021,16.3
B73xZ021E0053,BxRIL,Z021,13.7
B73xZ021E0054,BxRIL,Z021,18
B73xZ021E0057,BxRIL,Z021,16.7
B73xZ021E0066,BxRIL,Z021,15
B73xZ021E0082,BxRIL,Z021,16
B73xZ021E0088,BxRIL,Z021,14.7
B73xZ021E0090,BxRIL,Z021,14.7
B73xZ021E0096,BxRIL,Z021,16.7
B73xZ021E0130,BxRIL,Z021,16.7
B73xZ021E0146,BxRIL,Z021,15.3
B73xZ021E0147,BxRIL,Z021,18.7
B73xZ021E0152,BxRIL,Z021,17.3
B73xZ021E0161,BxRIL,Z021,19
B73xZ021E0169,BxRIL,Z021,16.3
B73xZ021E0178,BxRIL,Z021,16
B73xZ021E0181,BxRIL,Z021,16.3
B73xZ021E0192,BxRIL,Z021,14
B73xZ021E0195,BxRIL,Z021,16.3
B73xZ022E0003,BxRIL,Z022,16.5
B73xZ022E0006,BxRIL,Z022,17.3
B73xZ022E0007,BxRIL,Z022,17
B73xZ022E0012,BxRIL,Z022,16.7
B73xZ022E0016,BxRIL,Z022,15.6
B73xZ022E0115,BxRIL,Z022,16.7
B73xZ023E0017,BxRIL,Z023,19.3
B73xZ023E0044,BxRIL,Z023,17.3
B73xZ023E0056,BxRIL,Z023,15.5
B73xZ023E0085,BxRIL,Z023,19
B73xZ024E0004,BxRIL,Z024,17
B73xZ024E0008,BxRIL,Z024,16
B73xZ024E0009,BxRIL,Z024,17.5
B73xZ024E0017,BxRIL,Z024,17.3
B73xZ024E0033,BxRIL,Z024,15.2
B73xZ024E0044,BxRIL,Z024,17.3
B73xZ024E0058,BxRIL,Z024,16.7
B73xZ024E0083,BxRIL,Z024,16.7
B73xZ024E0118,BxRIL,Z024,17.3
B73xZ024E0120,BxRIL,Z024,14.5
B73xZ024E0152,BxRIL,Z024,18.3
B73xZ024E0158,BxRIL,Z024,14.8
B73xZ024E0195,BxRIL,Z024,15.5
B73xZ025E0055,BxRIL,Z025,15.7
B73xZ025E0106,BxRIL,Z025,15
B73xZ025E0140,BxRIL,Z025,16
B73xZ025E0181,BxRIL,Z025,18
B73xZ025E0187,BxRIL,Z025,15
B73xZ025E0195,BxRIL,Z025,15.3
B73xZ025E0196,BxRIL,Z025,16
B73xZ025E0198,BxRIL,Z025,16.7
B73xZ026E0006,BxRIL,Z026,16
B73xZ026E0010,BxRIL,Z026,18
B73xZ026E0013,BxRIL,Z026,16.4
B73xZ026E0020,BxRIL,Z026,18
B73xZ026E0022,BxRIL,Z026,17.3
B73xZ026E0034,BxRIL,Z026,16.5
B73xZ026E0035,BxRIL,Z026,16
B73xZ026E0041,BxRIL,Z026,15
B73xZ026E0053,BxRIL,Z026,14
B73xZ026E0054,BxRIL,Z026,16.7
B73xZ026E0061,BxRIL,Z026,15.3
B73xZ026E0068,BxRIL,Z026,17
B73xZ026E0077,BxRIL,Z026,15.7
B73xZ026E0080,BxRIL,Z026,17.6
B73xZ026E0085,BxRIL,Z026,13.7
B73xZ026E0088,BxRIL,Z026,18.3
B73xZ026E0100,BxRIL,Z026,16.7
B73xZ026E0123,BxRIL,Z026,14.7
B73xZ026E0126,BxRIL,Z026,15.2
B73xZ026E0141,BxRIL,Z026,15.3
B73xZ026E0149,BxRIL,Z026,17.7
B73xZ026E0152,BxRIL,Z026,18
B73xZ026E0153,BxRIL,Z026,16.3
B73xZ026E0156,BxRIL,Z026,15
B73xZ026E0162,BxRIL,Z026,16.4
B73xZ026E0165,BxRIL,Z026,14
B73xZ026E0198,BxRIL,Z026,17.7
B73xZ026E0199,BxRIL,Z026,16.4
B73xZ001,Diallel,Z000,17.3
B73xZ002,Diallel,Z000,15.8
B73xZ003,Diallel,Z000,15.8
B73xZ005,Diallel,Z000,16
B73xZ006,Diallel,Z000,16.7
B73xZ007,Diallel,Z000,14.4
B73xZ008,Diallel,Z000,15.7
B73xZ009,Diallel,Z000,15.1
B73xZ010,Diallel,Z000,17.1
B73xZ011,Diallel,Z000,15.7
B73xZ012,Diallel,Z000,16.2
B73xZ013,Diallel,Z000,15.8
B73xZ014,Diallel,Z000,15.6
B73xZ016,Diallel,Z000,15.3
B73xZ017,Diallel,Z000,16
B73xZ018,Diallel,Z000,18.2
B73xZ020,Diallel,Z000,16.4
B73xZ021,Diallel,Z000,16
B73xZ022,Diallel,Z000,17.8
B73xZ023,Diallel,Z000,18
B73xZ024,Diallel,Z000,14.6
B73xZ025,Diallel,Z000,16.9
B73xZ026,Diallel,Z000,18
Z001xZ002,Diallel,Z000,16.6
Z001xZ003,Diallel,Z000,15.3
Z001xZ005,Diallel,Z000,14
Z001xZ006,Diallel,Z000,16.4
Z001xZ010,Diallel,Z000,14.4
Z001xZ011,Diallel,Z000,15.3
Z001xZ012,Diallel,Z000,15.4
Z001xZ014,Diallel,Z000,14.2
Z001xZ016,Diallel,Z000,16.4
Z001xZ017,Diallel,Z000,14
Z001xZ019,Diallel,Z000,16.9
Z001xZ020,Diallel,Z000,16.4
Z001xZ021,Diallel,Z000,15.4
Z001xZ022,Diallel,Z000,16.7
Z001xZ023,Diallel,Z000,16.9
Z001xZ024,Diallel,Z000,13.3
Z001xZ025,Diallel,Z000,15.1
Z002xZ002,Diallel,Z000,16.8
Z002xZ003,Diallel,Z000,14.5
Z002xZ005,Diallel,Z000,14
Z002xZ006,Diallel,Z000,14.9
Z002xZ007,Diallel,Z000,14.2
Z002xZ010,Diallel,Z000,15.1
Z002xZ011,Diallel,Z000,16.3
Z002xZ012,Diallel,Z000,14.9
Z002xZ013,Diallel,Z000,16.4
Z002xZ014,Diallel,Z000,13.7
Z002xZ015,Diallel,Z000,14.6
Z002xZ016,Diallel,Z000,14.6
Z002xZ017,Diallel,Z000,13.6
Z002xZ019,Diallel,Z000,16.9
Z002xZ020,Diallel,Z000,15.8
Z002xZ021,Diallel,Z000,14.3
Z002xZ022,Diallel,Z000,16
Z002xZ024,Diallel,Z000,15.3
Z002xZ025,Diallel,Z000,15.8
Z002xZ026,Diallel,Z000,16.7
Z003xZ006,Diallel,Z000,15.6
Z003xZ007,Diallel,Z000,13.1
Z003xZ008,Diallel,Z000,11.3
Z003xZ009,Diallel,Z000,13.7
Z003xZ010,Diallel,Z000,14
Z003xZ011,Diallel,Z000,15
Z003xZ012,Diallel,Z000,13.5
Z003xZ013,Diallel,Z000,13.5
Z003xZ015,Diallel,Z000,13.6
Z003xZ021,Diallel,Z000,14
Z003xZ022,Diallel,Z000,16
Z003xZ026,Diallel,Z000,16
Z005xZ006,Diallel,Z000,15.2
Z005xZ007,Diallel,Z000,12.7
Z005xZ008,Diallel,Z000,12
Z005xZ009,Diallel,Z000,12.7
Z005xZ012,Diallel,Z000,12
Z005xZ013,Diallel,Z000,14.2
Z005xZ014,Diallel,Z000,12
Z005xZ015,Diallel,Z000,14.7
Z005xZ016,Diallel,Z000,12.4
Z005xZ017,Diallel,Z000,13.6
Z005xZ018,Diallel,Z000,13.8
Z005xZ019,Diallel,Z000,16.7
Z005xZ020,Diallel,Z000,13.3
Z005xZ022,Diallel,Z000,14.2
Z005xZ024,Diallel,Z000,13.8
Z005xZ025,Diallel,Z000,14.3
Z005xZ026,Diallel,Z000,13.9
Z006xZ007,Diallel,Z000,14
Z006xZ008,Diallel,Z000,13.6
Z006xZ009,Diallel,Z000,15.2
Z006xZ010,Diallel,Z000,15.8
Z006xZ012,Diallel,Z000,15
Z006xZ013,Diallel,Z000,16.4
Z006xZ014,Diallel,Z000,13.4
Z006xZ015,Diallel,Z000,16
Z006xZ017,Diallel,Z000,14.9
Z006xZ018,Diallel,Z000,17.3
Z006xZ019,Diallel,Z000,18.9
Z006xZ021,Diallel,Z000,15.2
Z006xZ022,Diallel,Z000,16.5
Z006xZ024,Diallel,Z000,14
Z006xZ025,Diallel,Z000,16.9
Z006xZ026,Diallel,Z000,17.5
Z007xZ008,Diallel,Z000,12.9
Z007xZ010,Diallel,Z000,13.8
Z007xZ011,Diallel,Z000,14.2
Z007xZ012,Diallel,Z000,12.4
Z007xZ013,Diallel,Z000,13.8
Z007xZ014,Diallel,Z000,12.2
Z007xZ015,Diallel,Z000,14.2
Z007xZ017,Diallel,Z000,14.7
Z007xZ018,Diallel,Z000,14
Z007xZ021,Diallel,Z000,13.8
Z007xZ022,Diallel,Z000,15.3
Z007xZ023,Diallel,Z000,15
Z007xZ024,Diallel,Z000,13.3
Z007xZ025,Diallel,Z000,14.4
Z007xZ026,Diallel,Z000,14.5
Z008xZ009,Diallel,Z000,11.6
Z008xZ012,Diallel,Z000,11.6
Z008xZ013,Diallel,Z000,12
Z008xZ014,Diallel,Z000,12.9
Z008xZ016,Diallel,Z000,12
Z008xZ017,Diallel,Z000,11.8
Z008xZ018,Diallel,Z000,14.2
Z008xZ020,Diallel,Z000,13.3
Z008xZ023,Diallel,Z000,15.6
Z008xZ025,Diallel,Z000,13.3
Z008xZ026,Diallel,Z000,14
Z009xZ012,Diallel,Z000,12.7
Z009xZ014,Diallel,Z000,13.7
Z009xZ015,Diallel,Z000,13.5
Z009xZ016,Diallel,Z000,12.7
Z009xZ017,Diallel,Z000,12.7
Z009xZ020,Diallel,Z000,14.2
Z009xZ024,Diallel,Z000,11.8
Z009xZ025,Diallel,Z000,14.7
Z009xZ026,Diallel,Z000,14.5
Z010xZ016,Diallel,Z000,14.4
Z010xZ017,Diallel,Z000,14
Z010xZ020,Diallel,Z000,15.8
Z010xZ021,Diallel,Z000,14.4
Z010xZ022,Diallel,Z000,15.1
Z010xZ024,Diallel,Z000,14
Z010xZ025,Diallel,Z000,15.6
Z011xZ012,Diallel,Z000,14.9
Z011xZ017,Diallel,Z000,13.6
Z011xZ019,Diallel,Z000,15.6
Z011xZ020,Diallel,Z000,15.2
Z011xZ021,Diallel,Z000,15.7
Z011xZ022,Diallel,Z000,16.8
Z012xZ013,Diallel,Z000,12.2
Z012xZ015,Diallel,Z000,14.5
Z012xZ017,Diallel,Z000,13.3
Z012xZ018,Diallel,Z000,14.2
Z012xZ021,Diallel,Z000,13.7
Z012xZ022,Diallel,Z000,15.5
Z012xZ025,Diallel,Z000,15.3
Z012xZ026,Diallel,Z000,14.7
Z013xZ015,Diallel,Z000,14.7
Z013xZ016,Diallel,Z000,14.8
Z013xZ018,Diallel,Z000,15.1
Z013xZ021,Diallel,Z000,14.7
Z013xZ023,Diallel,Z000,15.7
Z013xZ024,Diallel,Z000,14.4
Z013xZ025,Diallel,Z000,15.7
Z013xZ026,Diallel,Z000,16.7
Z014xZ016,Diallel,Z000,13.6
Z014xZ017,Diallel,Z000,12.7
Z014xZ019,Diallel,Z000,14.2
Z014xZ020,Diallel,Z000,14.1
Z014xZ021,Diallel,Z000,13.9
Z014xZ022,Diallel,Z000,17.1
Z014xZ023,Diallel,Z000,14.7
Z014xZ024,Diallel,Z000,14
Z014xZ025,Diallel,Z000,14.4
Z014xZ026,Diallel,Z000,16.3
Z015xZ015,Diallel,Z000,15
Z015xZ018,Diallel,Z000,17.3
Z015xZ020,Diallel,Z000,14.4
Z015xZ021,Diallel,Z000,14.2
Z015xZ023,Diallel,Z000,16.4
Z015xZ025,Diallel,Z000,16
Z015xZ026,Diallel,Z000,15.3
Z016xZ017,Diallel,Z000,14
Z016xZ018,Diallel,Z000,16.7
Z016xZ019,Diallel,Z000,16.9
Z016xZ020,Diallel,Z000,15.1
Z016xZ021,Diallel,Z000,14.2
Z016xZ022,Diallel,Z000,15.4
Z016xZ023,Diallel,Z000,16.6
Z016xZ024,Diallel,Z000,12.9
Z016xZ025,Diallel,Z000,15.3
Z016xZ026,Diallel,Z000,15.4
Z017xZ020,Diallel,Z000,15.1
Z017xZ021,Diallel,Z000,13.6
Z017xZ022,Diallel,Z000,14.1
Z017xZ023,Diallel,Z000,16.4
Z017xZ024,Diallel,Z000,13
Z017xZ025,Diallel,Z000,14.9
Z018xZ020,Diallel,Z000,16.2
Z018xZ026,Diallel,Z000,18
Z019xZ021,Diallel,Z000,16.2
Z019xZ022,Diallel,Z000,16.7
Z019xZ024,Diallel,Z000,14.7
Z020xZ021,Diallel,Z000,14.5
Z020xZ022,Diallel,Z000,15.8
Z020xZ023,Diallel,Z000,16
Z020xZ024,Diallel,Z000,13.6
Z020xZ025,Diallel,Z000,16.2
Z020xZ026,Diallel,Z000,16.9
Z021xZ021,Diallel,Z000,11.7
Z021xZ022,Diallel,Z000,15.3
Z021xZ024,Diallel,Z000,14.6
Z021xZ025,Diallel,Z000,14.4
Z022xZ023,Diallel,Z000,16.9
Z022xZ024,Diallel,Z000,13.5
Z023xZ023,Diallel,Z000,16
Z023xZ025,Diallel,Z000,17.3
Z023xZ026,Diallel,Z000,17.4
Z024xZ025,Diallel,Z000,14.9
Z024xZ026,Diallel,Z000,15.6
Z025xZ026,Diallel,Z000,15.6
Mo17xZ017E0001,MxRIL,Z017,13.5
Mo17xZ017E0002,MxRIL,Z017,12.2
Mo17xZ017E0003,MxRIL,Z017,12.1
Mo17xZ017E0004,MxRIL,Z017,13
Mo17xZ017E0005,MxRIL,Z017,13.7
Mo17xZ017E0006,MxRIL,Z017,13.6
Mo17xZ017E0007,MxRIL,Z017,12.8
Mo17xZ017E0008,MxRIL,Z017,12.8
Mo17xZ017E0009,MxRIL,Z017,12.3
Mo17xZ017E0010,MxRIL,Z017,12.8
Mo17xZ017E0011,MxRIL,Z017,13.1
Mo17xZ017E0012,MxRIL,Z017,13.5
Mo17xZ017E0013,MxRIL,Z017,12.6
Mo17xZ017E0014,MxRIL,Z017,11.1
Mo17xZ017E0015,MxRIL,Z017,13.6
Mo17xZ017E0016,MxRIL,Z017,11.8
Mo17xZ017E0017,MxRIL,Z017,12.6
Mo17xZ017E0018,MxRIL,Z017,13.2
Mo17xZ017E0019,MxRIL,Z017,13.7
Mo17xZ017E0020,MxRIL,Z017,13.3
Mo17xZ017E0021,MxRIL,Z017,12
Mo17xZ017E0022,MxRIL,Z017,12.3
Mo17xZ017E0023,MxRIL,Z017,15.6
Mo17xZ017E0024,MxRIL,Z017,12
Mo17xZ017E0025,MxRIL,Z017,12.5
Mo17xZ017E0027,MxRIL,Z017,13.9
Mo17xZ017E0028,MxRIL,Z017,12.2
Mo17xZ017E0029,MxRIL,Z017,13.2
Mo17xZ017E0030,MxRIL,Z017,12.4
Mo17xZ017E0031,MxRIL,Z017,12.1
Mo17xZ017E0032,MxRIL,Z017,13.8
Mo17xZ017E0033,MxRIL,Z017,12.5
Mo17xZ017E0034,MxRIL,Z017,13.5
Mo17xZ017E0035,MxRIL,Z017,12.9
Mo17xZ017E0036,MxRIL,Z017,12.9
Mo17xZ017E0037,MxRIL,Z017,15
Mo17xZ017E0038,MxRIL,Z017,13.1
Mo17xZ017E0039,MxRIL,Z017,12.3
Mo17xZ017E0043,MxRIL,Z017,12
Mo17xZ017E0045,MxRIL,Z017,12.6
Mo17xZ017E0046,MxRIL,Z017,14.4
Mo17xZ017E0047,MxRIL,Z017,12.3
Mo17xZ017E0048,MxRIL,Z017,12.3
Mo17xZ017E0049,MxRIL,Z017,13.6
Mo17xZ017E0050,MxRIL,Z017,13.6
Mo17xZ017E0051,MxRIL,Z017,13.9
Mo17xZ017E0052,MxRIL,Z017,14.8
Mo17xZ017E0053,MxRIL,Z017,13.8
Mo17xZ017E0054,MxRIL,Z017,13.4
Mo17xZ017E0055,MxRIL,Z017,14.6
Mo17xZ017E0056,MxRIL,Z017,16.2
Mo17xZ017E0057,MxRIL,Z017,13.6
Mo17xZ017E0058,MxRIL,Z017,12.1
Mo17xZ017E0059,MxRIL,Z017,13.2
Mo17xZ017E0060,MxRIL,Z017,14.3
Mo17xZ017E0061,MxRIL,Z017,13.9
Mo17xZ017E0062,MxRIL,Z017,12.4
Mo17xZ017E0063,MxRIL,Z017,13.9
Mo17xZ017E0064,MxRIL,Z017,14.4
Mo17xZ017E0065,MxRIL,Z017,13.5
Mo17xZ017E0066,MxRIL,Z017,14
Mo17xZ017E0067,MxRIL,Z017,13.8
Mo17xZ017E0069,MxRIL,Z017,12.2
Mo17xZ017E0070,MxRIL,Z017,14
Mo17xZ017E0071,MxRIL,Z017,13.3
Mo17xZ017E0072,MxRIL,Z017,12.7
Mo17xZ017E0073,MxRIL,Z017,13.4
Mo17xZ017E0074,MxRIL,Z017,12.4
Mo17xZ017E0075,MxRIL,Z017,13.2
Mo17xZ017E0076,MxRIL,Z017,12
Mo17xZ017E0077,MxRIL,Z017,13.4
Mo17xZ017E0078,MxRIL,Z017,12.9
Mo17xZ017E0079,MxRIL,Z017,12.3
Mo17xZ017E0081,MxRIL,Z017,14.2
Mo17xZ017E0082,MxRIL,Z017,12.2
Mo17xZ017E0083,MxRIL,Z017,13.3
Mo17xZ017E0084,MxRIL,Z017,12.7
Mo17xZ017E0085,MxRIL,Z017,12.1
Mo17xZ017E0086,MxRIL,Z017,13.7
Mo17xZ017E0087,MxRIL,Z017,14
Mo17xZ017E0088,MxRIL,Z017,13.1
Mo17xZ017E0089,MxRIL,Z017,13.3
Mo17xZ017E0090,MxRIL,Z017,12.9
Mo17xZ017E0091,MxRIL,Z017,12.7
Mo17xZ017E0092,MxRIL,Z017,14.6
Mo17xZ017E0093,MxRIL,Z017,13.1
Mo17xZ017E0094,MxRIL,Z017,12.8
Mo17xZ017E0100,MxRIL,Z017,13
Mo17xZ017E0101,MxRIL,Z017,14.2
Mo17xZ017E0104,MxRIL,Z017,12.3
Mo17xZ017E0105,MxRIL,Z017,13.6
Mo17xZ017E0107,MxRIL,Z017,12.3
Mo17xZ017E0109,MxRIL,Z017,12
Mo17xZ017E0110,MxRIL,Z017,12.6
Mo17xZ017E0111,MxRIL,Z017,13.9
Mo17xZ017E0112,MxRIL,Z017,13.4
Mo17xZ017E0113,MxRIL,Z017,12.5
Mo17xZ017E0114,MxRIL,Z017,13
Mo17xZ017E0115,MxRIL,Z017,14.5
Mo17xZ017E0116,MxRIL,Z017,13.1
Mo17xZ017E0117,MxRIL,Z017,11.9
Mo17xZ017E0118,MxRIL,Z017,14.7
Mo17xZ017E0119,MxRIL,Z017,11.4
Mo17xZ017E0120,MxRIL,Z017,13.7
Mo17xZ017E0122,MxRIL,Z017,12.6
Mo17xZ017E0123,MxRIL,Z017,14.7
Mo17xZ017E0124,MxRIL,Z017,13
Mo17xZ017E0126,MxRIL,Z017,13.2
Mo17xZ017E0127,MxRIL,Z017,13.6
Mo17xZ017E0128,MxRIL,Z017,13.6
Mo17xZ017E0129,MxRIL,Z017,12.3
Mo17xZ017E0130,MxRIL,Z017,12.7
Mo17xZ017E0132,MxRIL,Z017,12.8
Mo17xZ017E0133,MxRIL,Z017,13.2
Mo17xZ017E0134,MxRIL,Z017,13.1
Mo17xZ017E0137,MxRIL,Z017,12.5
Mo17xZ017E0139,MxRIL,Z017,13.4
Mo17xZ017E0141,MxRIL,Z017,13.1
Mo17xZ017E0142,MxRIL,Z017,15.2
Mo17xZ017E0144,MxRIL,Z017,13.7
Mo17xZ017E0146,MxRIL,Z017,15.1
Mo17xZ017E0147,MxRIL,Z017,14.2
Mo17xZ017E0150,MxRIL,Z017,12.1
Mo17xZ017E0152,MxRIL,Z017,12.7
Mo17xZ017E0153,MxRIL,Z017,13.5
Mo17xZ017E0154,MxRIL,Z017,12.9
Mo17xZ017E0155,MxRIL,Z017,13.2
Mo17xZ017E0156,MxRIL,Z017,14.2
Mo17xZ017E0157,MxRIL,Z017,13
Mo17xZ017E0160,MxRIL,Z017,12.7
Mo17xZ017E0163,MxRIL,Z017,15.4
Mo17xZ017E0165,MxRIL,Z017,13.7
Mo17xZ017E0167,MxRIL,Z017,13.1
Mo17xZ017E0168,MxRIL,Z017,13.3
Mo17xZ017E0169,MxRIL,Z017,14.1
Mo17xZ017E0171,MxRIL,Z017,13.7
Mo17xZ017E0172,MxRIL,Z017,12.9
Mo17xZ017E0173,MxRIL,Z017,11.9
Mo17xZ017E0176,MxRIL,Z017,13.5
Mo17xZ017E0177,MxRIL,Z017,12.4
Mo17xZ017E0178,MxRIL,Z017,13.2
Mo17xZ017E0179,MxRIL,Z017,13.5
Mo17xZ017E0180,MxRIL,Z017,13.5
Mo17xZ017E0181,MxRIL,Z017,12.1
Mo17xZ017E0182,MxRIL,Z017,13.2
Mo17xZ017E0186,MxRIL,Z017,11.2
Mo17xZ017E0188,MxRIL,Z017,12.2
Mo17xZ017E0190,MxRIL,Z017,14.1
Mo17xZ017E0192,MxRIL,Z017,11.6
Mo17xZ017E0195,MxRIL,Z017,12.8
Mo17xZ017E0198,MxRIL,Z017,13.7
Mo17xZ017E0199,MxRIL,Z017,13.1
Mo17xZ017E0200,MxRIL,Z017,12.9
Mo17xZ017EM0002,MxRIL,Z017,13.6
Mo17xZ017EM0004,MxRIL,Z017,11.5
Mo17xZ017EM0006,MxRIL,Z017,11.8
Mo17xZ017EM0026,MxRIL,Z017,13
Mo17xZ017EM0044,MxRIL,Z017,12.5
Mo17xZ017EM0053,MxRIL,Z017,13.2
Mo17xZ017EM0054,MxRIL,Z017,13.9
Mo17xZ017EM0059,MxRIL,Z017,13
Mo17xZ017EM0064,MxRIL,Z017,13
Mo17xZ017EM0065,MxRIL,Z017,14.4
Mo17xZ017EM0069,MxRIL,Z017,13.8
Mo17xZ017EM0070,MxRIL,Z017,12.5
Mo17xZ017EM0071,MxRIL,Z017,13.4
Mo17xZ017EM0078,MxRIL,Z017,14
Mo17xZ017EM0080,MxRIL,Z017,13.2
Mo17xZ017EM0081,MxRIL,Z017,12.6
Mo17xZ017EM0084,MxRIL,Z017,11.8
Mo17xZ017EM0086,MxRIL,Z017,12.9
Mo17xZ017EM0090,MxRIL,Z017,12.7
Mo17xZ017EM0091,MxRIL,Z017,12.8
Mo17xZ017EM0096,MxRIL,Z017,13.8
Mo17xZ017EM0097,MxRIL,Z017,14
Mo17xZ017EM0100,MxRIL,Z017,11.4
Mo17xZ017EM0103,MxRIL,Z017,12.9
Mo17xZ017EM0104,MxRIL,Z017,12.3
Mo17xZ017EM0107,MxRIL,Z017,13.8
Mo17xZ017EM0109,MxRIL,Z017,12.4
Mo17xZ017EM0110,MxRIL,Z017,12.6
Mo17xZ017EM0113,MxRIL,Z017,14.6
Mo17xZ017EM0115,MxRIL,Z017,12.2
Mo17xZ017EM0117,MxRIL,Z017,13.3
Mo17xZ017EM0120,MxRIL,Z017,13.4
Mo17xZ017EM0121,MxRIL,Z017,13.5
Mo17xZ017EM0122,MxRIL,Z017,13.4
Mo17xZ017EM0124,MxRIL,Z017,13.2
Mo17xZ017EM0126,MxRIL,Z017,12.1
Mo17xZ017EM0129,MxRIL,Z017,12.6
Mo17xZ017EM0130,MxRIL,Z017,14.2
Mo17xZ017EM0131,MxRIL,Z017,12.2
Mo17xZ017EM0132,MxRIL,Z017,12.5
Mo17xZ017EM0133,MxRIL,Z017,13
Mo17xZ017EM0138,MxRIL,Z017,12.6
Mo17xZ017EM0142,MxRIL,Z017,14
Mo17xZ017EM0144,MxRIL,Z017,13.5
Mo17xZ017EM0147,MxRIL,Z017,12.9
Mo17xZ017EM0149,MxRIL,Z017,14.2
Mo17xZ017EM0150,MxRIL,Z017,11.9
Mo17xZ017EM0152,MxRIL,Z017,12.8
Mo17xZ017EM0155,MxRIL,Z017,12.3
Mo17xZ017EM0156,MxRIL,Z017,13.7
Mo17xZ017EM0157,MxRIL,Z017,13.7
Mo17xZ017EM0160,MxRIL,Z017,13.7
Mo17xZ017EM0160A,MxRIL,Z017,14.6
Mo17xZ017EM0162A,MxRIL,Z017,15.4
Mo17xZ017EM0165,MxRIL,Z017,14.5
Mo17xZ017EM0166,MxRIL,Z017,12.8
Mo17xZ017EM0167,MxRIL,Z017,13.6
Mo17xZ017EM0168,MxRIL,Z017,12.4
Mo17xZ017EM0173,MxRIL,Z017,14.4
Mo17xZ017EM0174,MxRIL,Z017,12
Mo17xZ017EM0177,MxRIL,Z017,13
Mo17xZ017EM0178,MxRIL,Z017,14.1
Mo17xZ017EM0179,MxRIL,Z017,12
Mo17xZ017EM0180,MxRIL,Z017,12.3
Mo17xZ017EM0187,MxRIL,Z017,13.5
Mo17xZ017EM0189,MxRIL,Z017,13.6
Mo17xZ017EM0191,MxRIL,Z017,13.1
Mo17xZ017EM0195,MxRIL,Z017,12
Mo17xZ017EM0196,MxRIL,Z017,13.5
Mo17xZ017EM0197,MxRIL,Z017,14.2
Mo17xZ017EM0198,MxRIL,Z017,13
Mo17xZ017EM0199,MxRIL,Z017,12.1
Mo17xZ017EM0200,MxRIL,Z017,12.8
Mo17xZ017EM0201,MxRIL,Z017,14.4
Mo17xZ017EM0203,MxRIL,Z017,14.2
Mo17xZ017EM0204,MxRIL,Z017,13
Mo17xZ017EM0205,MxRIL,Z017,14
Mo17xZ017EM0206,MxRIL,Z017,13
Mo17xZ017EM0208,MxRIL,Z017,13.3
Mo17xZ017EM0209,MxRIL,Z017,14
Mo17xZ017EM0212,MxRIL,Z017,11.6
Mo17xZ017EM0213,MxRIL,Z017,12.9
Mo17xZ017EM0214,MxRIL,Z017,13.9
Mo17xZ017EM0216,MxRIL,Z017,12.9
Mo17xZ017EM0217,MxRIL,Z017,14.2
Mo17xZ017EM0220,MxRIL,Z017,15.1
Mo17xZ017EM0222,MxRIL,Z017,13.4
Mo17xZ017EM0223,MxRIL,Z017,12.9
Mo17xZ017EM0230,MxRIL,Z017,12.2
Mo17xZ017EM0232,MxRIL,Z017,13.6
Mo17xZ017EM0233,MxRIL,Z017,13.6
Mo17xZ017EM0234,MxRIL,Z017,13.7
Mo17xZ017EM0235,MxRIL,Z017,13.6
Mo17xZ017EM0236,MxRIL,Z017,12.7
Mo17xZ017EM0238,MxRIL,Z017,14.7
Mo17xZ017EM0239,MxRIL,Z017,14.3
Mo17xZ017EM0240,MxRIL,Z017,13.3
Mo17xZ017EM0241,MxRIL,Z017,12.9
Mo17xZ017EM0244,MxRIL,Z017,12.9
Mo17xZ017EM0245,MxRIL,Z017,14.4
Mo17xZ017EM0249,MxRIL,Z017,15.4
Mo17xZ017EM0251,MxRIL,Z017,12.8
Mo17xZ017EM0252,MxRIL,Z017,13.7
Mo17xZ017EM0254,MxRIL,Z017,13.3
Mo17xZ017EM0257,MxRIL,Z017,12.7
